,prediction
0,aerobe
1,anaerobe
2,anaerobe
3,anaerobe
4,anaerobe
5,aerobe
6,aerobe
7,aerobe
8,facultative
9,anaerobe
10,aerobe
11,anaerobe
12,anaerobe
13,aerobe
14,anaerobe
15,aerobe
16,anaerobe
17,anaerobe
18,anaerobe
19,aerobe
20,anaerobe
21,anaerobe
22,anaerobe
23,aerobe
24,facultative
25,facultative
26,aerobe
27,anaerobe
28,anaerobe
29,anaerobe
30,anaerobe
31,aerobe
32,anaerobe
33,anaerobe
34,facultative
35,anaerobe
36,anaerobe
37,anaerobe
38,anaerobe
39,aerobe
40,anaerobe
41,anaerobe
42,anaerobe
43,facultative
44,aerobe
45,aerobe
46,anaerobe
47,anaerobe
48,anaerobe
49,anaerobe
50,anaerobe
51,aerobe
52,anaerobe
53,anaerobe
54,anaerobe
55,anaerobe
56,anaerobe
57,anaerobe
58,anaerobe
59,anaerobe
60,aerobe
61,anaerobe
62,anaerobe
63,aerobe
64,aerobe
65,anaerobe
66,aerobe
67,aerobe
68,aerobe
69,anaerobe
70,aerobe
71,anaerobe
72,anaerobe
73,aerobe
74,anaerobe
75,anaerobe
76,anaerobe
77,anaerobe
78,aerobe
79,anaerobe
80,anaerobe
81,aerobe
82,anaerobe
83,aerobe
84,anaerobe
85,anaerobe
86,aerobe
87,aerobe
88,anaerobe
89,anaerobe
90,anaerobe
91,aerobe
92,anaerobe
93,aerobe
94,anaerobe
95,anaerobe
96,anaerobe
97,anaerobe
98,anaerobe
99,aerobe
100,anaerobe
101,anaerobe
102,anaerobe
103,anaerobe
104,anaerobe
105,aerobe
106,anaerobe
107,anaerobe
108,anaerobe
109,aerobe
110,anaerobe
111,aerobe
112,anaerobe
113,aerobe
114,anaerobe
115,aerobe
116,aerobe
117,anaerobe
118,aerobe
119,aerobe
120,anaerobe
121,anaerobe
122,anaerobe
123,aerobe
124,anaerobe
125,anaerobe
126,anaerobe
127,aerobe
128,aerobe
129,anaerobe
130,aerobe
131,anaerobe
132,anaerobe
133,aerobe
134,anaerobe
135,anaerobe
136,anaerobe
137,anaerobe
138,anaerobe
139,aerobe
140,aerobe
141,aerobe
142,aerobe
143,anaerobe
144,aerobe
145,aerobe
146,aerobe
147,anaerobe
148,aerobe
149,aerobe
150,anaerobe
151,aerobe
152,anaerobe
153,aerobe
154,aerobe
155,anaerobe
156,anaerobe
157,aerobe
158,aerobe
159,anaerobe
160,anaerobe
161,aerobe
162,anaerobe
163,anaerobe
164,aerobe
165,aerobe
166,aerobe
167,anaerobe
168,aerobe
169,anaerobe
170,aerobe
171,anaerobe
172,anaerobe
173,anaerobe
174,anaerobe
175,anaerobe
176,anaerobe
177,anaerobe
178,anaerobe
179,anaerobe
180,aerobe
181,aerobe
182,anaerobe
183,aerobe
184,anaerobe
185,aerobe
186,anaerobe
187,aerobe
188,aerobe
189,anaerobe
190,anaerobe
191,anaerobe
192,aerobe
193,aerobe
194,anaerobe
195,anaerobe
196,anaerobe
197,anaerobe
198,aerobe
199,facultative
