,aerobe,anaerobe,facultative,depth_m,o2_uM,h2s_uM
SRR12347146,61.16642766308599,30.830733432264683,8.002838904649002,50.0,121.2,0.1
SRR12347145,70.66919740021005,28.347409041783827,0.9833935580057556,70.0,2.2,0.15
SRR12347139,60.87811734047675,36.2423006132171,2.8795820463056097,80.0,0.5,0.1
SRR12347138,52.246116068664584,44.29536103738885,3.458522893946107,85.0,0.3,0.15
SRR12347137,42.984814072187675,48.83391110379304,8.18127482401867,90.0,0.3,0.1
SRR12347136,40.14260305351176,46.45663012155947,13.400766824928139,95.0,0.3,0.2
SRR12347135,32.28064160951166,50.86853806230126,16.85082032818653,100.0,0.3,0.2
SRR12347134,27.938366903428424,56.83347922370977,15.22815387286133,105.0,0.3,0.85
SRR12347133,31.2565175116932,55.549853589489096,13.193628898817172,110.0,0.3,4.6
SRR12347132,29.830999057148787,56.651596481090515,13.51740446176019,130.0,0.3,14.65
SRR12347144,28.451654336699338,57.79838135471432,13.749964308585902,170.0,0.3,31.55
SRR12347143,18.586874706430915,72.16887543987741,9.244249853691223,250.0,0.3,84.65
SRR12347142,9.478808862595477,82.62679763140757,7.8943935059965415,500.0,0.3,206.3
SRR12347141,6.971479699710849,85.73834368789575,7.290176612393038,1000.0,0.4,353.8
SRR12347140,8.766041200105978,81.70830959234394,9.525649207549733,2000.0,0.5,397.0
