,genome,elapsed_time,feature_type
0,GB_GCA_017520675.1,0.275118350982666,3mer
1,RS_GCF_000173615.1,0.26735782623291016,3mer
2,RS_GCF_005217605.1,0.2754695415496826,3mer
3,RS_GCF_900474295.1,0.3181893825531006,3mer
4,GB_GCA_002711995.1,0.500849723815918,3mer
5,GB_GCA_902773515.1,0.3268156051635742,3mer
6,RS_GCF_001543145.1,0.22545266151428223,3mer
7,RS_GCF_019052805.1,0.6025247573852539,3mer
8,GB_GCA_003218375.1,0.4944283962249756,3mer
9,RS_GCF_009496165.1,0.2262110710144043,3mer
10,GB_GCA_017520675.1,1442.269421339035,annotation
11,RS_GCF_000173615.1,1346.6721620559692,annotation
12,RS_GCF_005217605.1,1318.8126645088196,annotation
13,RS_GCF_900474295.1,1288.8719182014465,annotation
14,GB_GCA_002711995.1,1281.2790751457214,annotation
15,GB_GCA_902773515.1,1286.2938981056213,annotation
16,RS_GCF_001543145.1,1307.2216746807098,annotation
17,RS_GCF_019052805.1,1344.3365941047668,annotation
18,GB_GCA_003218375.1,1293.1870863437653,annotation
19,RS_GCF_009496165.1,1359.4520626068115,annotation
